Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 15 [10240/49000 (21%)]	Train Loss: 1.204883	Val Loss: 1.220351	Val Acc: 56
Train Epoch: 15 [15360/49000 (31%)]	Train Loss: 1.180154	Val Loss: 1.222252	Val Acc: 56
Train Epoch: 15 [20480/49000 (42%)]	Train Loss: 1.236775	Val Loss: 1.219772	Val Acc: 57
Train Epoch: 15 [25600/49000 (52%)]	Train Loss: 1.207681	Val Loss: 1.226135	Val Acc: 56
Train Epoch: 15 [30720/49000 (62%)]	Train Loss: 1.143633	Val Loss: 1.224976	Val Acc: 55
Train Epoch: 15 [35840/49000 (73%)]	Train Loss: 1.167545	Val Loss: 1.219329	Val Acc: 57
Train Epoch: 15 [40960/49000 (83%)]	Train Loss: 1.170167	Val Loss: 1.217008	Val Acc: 56
Train Epoch: 15 [46080/49000 (94%)]	Train Loss: 1.254558	Val Loss: 1.214071	Val Acc: 57
Train Epoch: 16 [0/49000 (0%)]	Train Loss: 1.207909	Val Loss: 1.203790	Val Acc: 57
Train Epoch: 16 [5120/49000 (10%)]	Train Loss: 1.196363	Val Loss: 1.216991	Val Acc: 57
Train Epoch: 16 [10240/49000 (21%)]	Train Loss: 1.186380	Val Loss: 1.222325	Val Acc: 57
Train Epoch: 16 [15360/49000 (31%)]	Train Loss: 1.267998	Val Loss: 1.208015	Val Acc: 57
Train Epoch: 16 [20480/49000 (42%)]	Train Loss: 1.268797	Val Loss: 1.202307	Val Acc: 57
Train Epoch: 16 [25600/49000 (52%)]	Train Loss: 1.229699	Val Loss: 1.202231	Val Acc: 57
Train Epoch: 16 [30720/49000 (62%)]	Train Loss: 1.196956	Val Loss: 1.201879	Val Acc: 57
Train Epoch: 16 [35840/49000 (73%)]	Train Loss: 1.162560	Val Loss: 1.207752	Val Acc: 56
Train Epoch: 16 [40960/49000 (83%)]	Train Loss: 1.220754	Val Loss: 1.210361	Val Acc: 57
Train Epoch: 16 [46080/49000 (94%)]	Train Loss: 1.208355	Val Loss: 1.212788	Val Acc: 57
Train Epoch: 17 [0/49000 (0%)]	Train Loss: 1.180651	Val Loss: 1.208800	Val Acc: 57
Train Epoch: 17 [5120/49000 (10%)]	Train Loss: 1.158886	Val Loss: 1.193188	Val Acc: 58
Train Epoch: 17 [10240/49000 (21%)]	Train Loss: 1.234888	Val Loss: 1.193324	Val Acc: 58
